channel_handle,channel_name,subscribers,n_videos,total_views,median_views,max_views,mean_duration_sec,top_video_title
@TheHiddenLevels,The Hidden Levels,11900.0,534,119882,161,3638,738,*FREE* Coloring Book 100% Achievement Walkthrough * 1000GS in 1 Hour *
@AlphaBolt,AlphaBolt,1140000.0,467,3793182,4182,204789,432,*NEW* ALL WORKING CODES FOR RIVALS IN 2026! ROBLOX RIVALS CODES
@BenGun,Ben-Gun,764000.0,441,15519325,7632,634773,7670,Invincible VS - All Characters Ultimate Attacks / Finishers [Full Roster] 4K
@rinimt,rinimt,16600.0,411,81035,33,26520,4340,Pokemon FireRed & LeafGreen - Where to Find Nidoran Male & Female
@AustinPlays316,Austin Plays,14300.0,399,637247,1242,19129,2068,Supermarket Simulator NEW DLC First Look! Game-Changing Update You NEED To See Is Finally Here!
@Gameskeysnet,Gameskeys,83000.0,394,1919971,1401,167556,3538,Upcoming Games That Look Absolutely Amazing
channel/UCPix8N6PMRI4KzgyjuZeF0g,Fahd Mirza,411000.0,362,3963979,4171,945934,642,OpenClaw with Local Ollama Models - Complete Easy Setup Guide
@APGAMING20,AP Gaming,24400.0,280,950690,2650,17332,1071,GUIA DE COMO PEGAR SEU DRAGÃO E OUTROS MASCOTES! - The Seven Deadly Sins: Origin
@gamespot,GameSpot,5680000.0,272,20300676,28035,2016557,593,"Resident Evil Requiem - ""Evil Has Always Had A Name"" | Official Live Action Trailer"
@enfant-terrible,ENFANT TERRIBLE,494000.0,259,17046907,25777,720195,2723,007 FIRST LIGHT Exclusive Preview Demo | Action JAMES BOND SINGLE PLAYER like Uncharted and Hitman
@MrJollyRoger,Mr Jolly Roger,24200.0,257,392752,927,18905,2671,FULL GAME  |  Data Center  |  Lets Play
@SwitchTop,SwitchTop,40700.0,211,3582534,11692,105998,1260,TOP 15 NEW UPCOMING Cozy Games on Nintendo Switch
@deepspacematt3333,DeepSpaceMatt,11700.0,189,449511,972,62943,3882,GROW YOUR FAMILY TREE OVER GENERATIONS! Noble Demo
@CellbitVODS,Cellbit VODS,339000.0,169,9944186,43362,618875,4684,eu decidi enfrentar o meu MAIOR MEDO (e me arrependi na hora)
@CrankyTemplar,CrankyTemplar,168000.0,159,1936110,3473,165888,1244,Sharks and Minnows - Ways to Die
@ElHolandesErrantesp,El Holandes Errante,17500.0,157,33322,126,1925,735,Steam acaba de regalar Legend of Keepers y te lo quedas para siempre
@CanalHistory,Canal History Brasil,,150,3336939,4884,215026,940,"Pé Grande, Lobisomem e Macaco-gambá: relatos chocantes! | MONSTERQUEST | EPISÓDIO COMPLETO | HISTORY"
@JoBloMovieNetwork,JoBlo Movie Network,2610000.0,150,7598545,10796,971122,244,KNIGHT RIDER: DECLASSIFIED | Exclusive Trailer (2026) 4K
@Chilevision,Chilevisión,4230000.0,150,2818529,8660,165981,1508,¡CON SU HUMOR ÁCIDO! Revive la rutina completa de Yerko Puchento en el Club de la Comedia
@MagicFlicks,Magic Flicks,768000.0,150,1791516,3378,176473,317,Dhurandhar The Revenge Trailer Reaction | Ranveer Singh Looks Insane | Aditya Dhar
@ChibiReviews,Chibi Reviews,486000.0,150,6791574,35588,385551,531,i lost everything
@PARTHEDUCATION,PARTH EDUCATION,1030000.0,150,536192,371,84802,1264,LT Grade Cut Off 2026 | UPPSC LT Grade 5 गुना List में Selection Possible? LT Grade Cut off Analysis
@OneMediaPlus.,ONE Media +,1360000.0,150,4306100,9870,377192,114,REMARKABLY BRIGHT CREATURES Official Trailer (2026) Lewis Pullman
@Intellipaat,Intellipaat,13000000.0,150,761557,2460,47838,9326,Agentic AI Course Free 2026 | Learn Agentic AI Full Course | Intellipaat
@HISTORY,HISTORY,15300000.0,150,10506533,25590,1054714,1912,UFO Activity Surges Across the U.S. | Unidentified: Inside America's UFO Investigation
@NintendoAmerica,Nintendo of America,10100000.0,150,34353949,64590,6481896,198,The Super Mario Galaxy Movie – Final Trailer
@HistoryLA,History Latinoamérica,,150,4014887,7590,463218,994,TODO DE ORO y trofeo de la Triple Corona ⭐ EL PRECIO DE LA HISTORIA ¡Maratón! 🤑 Episodios completos
@France24_es,FRANCE 24 Español,2110000.0,150,1079184,1843,92295,393,Los Ángeles: el sueño americano se vuelve imposible para miles de trabajadores • FRANCE 24
@InvestYadnya,Yadnya Investment Academy,937000.0,150,1791502,13220,56757,1249,Anthropic AI: End of Indian IT Jobs? | SaaSpocalypse Explained
@IGN,IGN,19800000.0,150,8186850,27490,781662,401,Forza Horizon 6 Review
@mdanoticias,MDA Noticias,692000.0,150,2030575,6592,143236,412,COSCU SIN FILTRO con MARTÍN CIRIO: los POLÉMICOS CA AWARDS y la TRAICIÓN de SEVEN KAYNE y TIAGO PZK
@CocinaAbiertatv,Cocina Abierta,631000.0,150,3214628,18888,74233,671,Goxua casero 🍮 postre vasco fácil y delicioso de Karlos Arguiñano
@KarmaxAR,Karmax AR,100000.0,150,3137741,11856,208546,3981,Her Hottest Idol Is a Socially Awkward Mess Who Wants Her Badly | Anime Recap
@TheDailyShow,The Daily Show,13800000.0,150,209110480,699658,8630817,986,"Trump Rages at Pope Leo, JD Vance Fumbles Iran Deal & Hungary Ousts Viktor Orban | The Daily Show"
@Crime360ByAE,Crime 360,194000.0,150,7135260,10810,519273,2026,"A Detective Reopens a Cold Case and Uncovers Hidden Secrets (S4, E7) | Cold Case Files | Full Ep"
@DéxaTikTok,Déxa TikTok,824000.0,150,36942204,151626,1192593,914,SI TE SABES EL TIKTOK BAILA! - 2026
@ZDFheute,ZDFheute Nachrichten,,150,14056736,46773,723261,1387,XXL-Restaurants: Hauptsache viel | ZDF.reportage
